HEAD_0, HEAD_1, HEAD_2, HEAD_3
20.879999, 34.820000, -11512.000000, -22804.000000
20.410000, 34.700001, -11069.000000, -22865.000000
19.940001, 34.590000, -10625.000000, -22921.000000
19.480000, 34.470001, -10187.000000, -22970.000000
19.010000, 34.349998, -9740.000000, -23016.000000
18.540001, 34.240002, -9292.000000, -23057.000000
18.070000, 34.130001, -8843.000000, -23093.000000
17.600000, 34.009998, -8387.000000, -23125.000000
17.139999, 33.889999, -7937.000000, -23152.000000
16.670000, 33.779999, -7481.000000, -23174.000000
16.200001, 33.660000, -7024.000000, -23190.000000
15.730000, 33.549999, -6567.000000, -23201.000000
15.270000, 33.439999, -6111.000000, -23206.000000
14.800000, 33.330002, -5655.000000, -23207.000000
14.340000, 33.220001, -5206.000000, -23202.000000
13.870000, 33.099998, -4748.000000, -23191.000000
13.400000, 32.990002, -4287.000000, -23176.000000
12.930000, 32.880001, -3827.000000, -23155.000000
12.460000, 32.770000, -3369.000000, -23129.000000
11.990000, 32.660000, -2913.000000, -23097.000000
11.520000, 32.549999, -2459.000000, -23060.000000
11.060000, 32.439999, -2014.000000, -23018.000000
10.590000, 32.330002, -1563.000000, -22971.000000
10.130000, 32.220001, -1115.000000, -22918.000000
9.660000, 32.110001, -663.000000, -22859.000000
9.190000, 32.000000, -213.000000, -22794.000000
8.720000, 31.889999, 232.000000, -22724.000000
8.250000, 31.780001, 675.000000, -22650.000000
7.780000, 31.670000, 1114.000000, -22570.000000
7.320000, 31.570000, 1542.000000, -22488.000000
6.850000, 31.459999, 1974.000000, -22399.000000
6.380000, 31.350000, 2402.000000, -22305.000000
5.910000, 31.240000, 2829.000000, -22205.000000
5.450000, 31.129999, 3255.000000, -22099.000000
4.980000, 31.020000, 3677.000000, -21988.000000
4.510000, 30.920000, 4093.000000, -21874.000000
4.040000, 30.809999, 4505.000000, -21755.000000
3.580000, 30.700001, 4905.000000, -21634.000000
3.110000, 30.590000, 5307.000000, -21508.000000
2.640000, 30.490000, 5703.000000, -21377.000000
2.170000, 30.379999, 6095.000000, -21243.000000
1.700000, 30.270000, 6484.000000, -21101.000000
1.230000, 30.160000, 6869.000000, -20955.000000
0.770000, 30.059999, 7248.000000, -20806.000000
0.300000, 29.950001, 7621.000000, -20654.000000
-0.160000, 29.840000, 7988.000000, -20500.000000
-0.620000, 29.740000, 8343.000000, -20345.000000
-1.090000, 29.629999, 8698.000000, -20185.000000
-1.560000, 29.520000, 9047.000000, -20022.000000
-2.030000, 29.410000, 9390.000000, -19856.000000
-2.500000, 29.309999, 9730.000000, -19683.000000
-2.970000, 29.200001, 10062.000000, -19508.000000
-3.440000, 29.090000, 10388.000000, -19332.000000
-3.900000, 28.980000, 10702.000000, -19157.000000
-4.370000, 28.879999, 11014.000000, -18979.000000
-4.830000, 28.770000, 11320.000000, -18799.000000
-5.300000, 28.660000, 11620.000000, -18617.000000
-5.770000, 28.549999, 11913.000000, -18434.000000
-6.240000, 28.450001, 12199.000000, -18246.000000
-6.710000, 28.340000, 12479.000000, -18056.000000
-7.170000, 28.230000, 12747.000000, -17869.000000
-7.640000, 28.129999, 13014.000000, -17679.000000
-8.110000, 28.020000, 13274.000000, -17488.000000
-8.580000, 27.910000, 13527.000000, -17298.000000
-9.040000, 27.799999, 13773.000000, -17108.000000
-9.510000, 27.690001, 14009.000000, -16921.000000
-9.970000, 27.580000, 14243.000000, -16730.000000
-10.440000, 27.469999, 14468.000000, -16535.000000
-10.910000, 27.360001, 14687.000000, -16342.000000
-11.370000, 27.250000, 14896.000000, -16152.000000
-11.840000, 27.139999, 15103.000000, -15961.000000
-12.310000, 27.030001, 15303.000000, -15772.000000
-12.780000, 26.920000, 15498.000000, -15583.000000
-13.240000, 26.809999, 15683.000000, -15399.000000
-13.710000, 26.700001, 15865.000000, -15214.000000
-14.180000, 26.590000, 16040.000000, -15028.000000
-14.650000, 26.480000, 16206.000000, -14841.000000
-15.110000, 26.360001, 16365.000000, -14660.000000
-15.580000, 26.250000, 16521.000000, -14479.000000
-16.040001, 26.129999, 16672.000000, -14300.000000
-16.510000, 26.020000, 16816.000000, -14126.000000
-16.969999, 25.910000, 16957.000000, -13951.000000
-17.440001, 25.799999, 17093.000000, -13780.000000
-17.900000, 25.680000, 17221.000000, -13613.000000
-18.370001, 25.570000, 17342.000000, -13444.000000
-18.840000, 25.450001, 17459.000000, -13277.000000
-19.299999, 25.340000, 17570.000000, -13116.000000
-19.770000, 25.219999, 17678.000000, -12956.000000
-20.230000, 25.100000, 17781.000000, -12801.000000
-20.700001, 24.980000, 17882.000000, -12647.000000
-21.170000, 24.870001, 17978.000000, -12496.000000
-21.629999, 24.750000, 18070.000000, -12351.000000
-22.100000, 24.629999, 18157.000000, -12207.000000
-22.559999, 24.510000, 18235.000000, -12066.000000
-23.030001, 24.389999, 18313.000000, -11927.000000
-23.490000, 24.270000, 18387.000000, -11794.000000
-23.959999, 24.150000, 18459.000000, -11662.000000
-24.420000, 24.030001, 18527.000000, -11536.000000
-24.889999, 23.910000, 18594.000000, -11412.000000
-25.350000, 23.780001, 18657.000000, -11293.000000
-25.820000, 23.660000, 18718.000000, -11175.000000
-26.280001, 23.530001, 18772.000000, -11063.000000
-26.750000, 23.410000, 18824.000000, -10953.000000
-27.209999, 23.280001, 18874.000000, -10848.000000
-27.670000, 23.160000, 18923.000000, -10747.000000
-28.139999, 23.030001, 18971.000000, -10647.000000
-28.600000, 22.900000, 19017.000000, -10553.000000
-29.059999, 22.770000, 19062.000000, -10463.000000
-29.530001, 22.639999, 19107.000000, -10374.000000
-29.990000, 22.520000, 19149.000000, -10291.000000
-30.450001, 22.379999, 19186.000000, -10212.000000
-30.920000, 22.250000, 19223.000000, -10135.000000
-31.379999, 22.120001, 19260.000000, -10063.000000
-31.840000, 21.980000, 19296.000000, -9994.000000
-32.299999, 21.840000, 19332.000000, -9928.000000
-32.759998, 21.709999, 19369.000000, -9866.000000
-33.230000, 21.570000, 19406.000000, -9806.000000
-33.689999, 21.430000, 19442.000000, -9750.000000
-34.150002, 21.290001, 19477.000000, -9699.000000
-34.610001, 21.150000, 19510.000000, -9652.000000
-35.080002, 21.010000, 19545.000000, -9607.000000
-35.540001, 20.870001, 19580.000000, -9565.000000
-36.000000, 20.719999, 19615.000000, -9526.000000
-36.459999, 20.570000, 19652.000000, -9490.000000
-36.919998, 20.430000, 19691.000000, -9457.000000
-37.380001, 20.280001, 19730.000000, -9427.000000
-37.840000, 20.129999, 19769.000000, -9400.000000
-38.299999, 19.980000, 19808.000000, -9377.000000
-38.759998, 19.820000, 19847.000000, -9357.000000
-39.220001, 19.670000, 19888.000000, -9340.000000
-39.689999, 19.520000, 19930.000000, -9325.000000
-40.150002, 19.350000, 19974.000000, -9313.000000
-40.610001, 19.200001, 20020.000000, -9302.000000
-41.070000, 19.030001, 20067.000000, -9294.000000
-41.520000, 18.879999, 20116.000000, -9288.000000
-41.980000, 18.700001, 20166.000000, -9285.000000
-42.439999, 18.540001, 20217.000000, -9286.000000
-42.900002, 18.370001, 20269.000000, -9289.000000
-43.360001, 18.200001, 20324.000000, -9294.000000
-43.820000, 18.030001, 20381.000000, -9300.000000
-44.270000, 17.850000, 20439.000000, -9308.000000
-44.730000, 17.670000, 20501.000000, -9318.000000
-45.189999, 17.500000, 20565.000000, -9329.000000
-45.650002, 17.309999, 20630.000000, -9342.000000
-46.110001, 17.129999, 20698.000000, -9357.000000
-46.560001, 16.950001, 20766.000000, -9376.000000
-47.009998, 16.760000, 20836.000000, -9396.000000
-47.470001, 16.559999, 20910.000000, -9417.000000
-47.930000, 16.370001, 20986.000000, -9439.000000
-48.380001, 16.170000, 21063.000000, -9462.000000
-48.840000, 15.970000, 21145.000000, -9486.000000
-49.290001, 15.770000, 21227.000000, -9511.000000
-49.750000, 15.560000, 21312.000000, -9537.000000
-50.200001, 15.350000, 21398.000000, -9566.000000
-50.650002, 15.140000, 21487.000000, -9597.000000
-51.110001, 14.920000, 21578.000000, -9628.000000
-51.560001, 14.700000, 21672.000000, -9660.000000
-52.009998, 14.480000, 21768.000000, -9692.000000
-52.470001, 14.250000, 21867.000000, -9725.000000
-52.919998, 14.020000, 21968.000000, -9759.000000
-53.369999, 13.780000, 22072.000000, -9793.000000
-53.830002, 13.540000, 22178.000000, -9828.000000
-54.270000, 13.300000, 22285.000000, -9865.000000
-54.720001, 13.050000, 22396.000000, -9903.000000
-55.180000, 12.790000, 22509.000000, -9942.000000
-55.619999, 12.530000, 22623.000000, -9980.000000
-56.080002, 12.270000, 22741.000000, -10019.000000
-56.520000, 12.000000, 22860.000000, -10057.000000
-56.970001, 11.720000, 22980.000000, -10096.000000
-57.419998, 11.440000, 23106.000000, -10135.000000
-57.869999, 11.150000, 23231.000000, -10175.000000
-58.310001, 10.860000, 23359.000000, -10216.000000
-58.759998, 10.550000, 23489.000000, -10258.000000
-59.200001, 10.250000, 23622.000000, -10300.000000
-59.650002, 9.940000, 23758.000000, -10342.000000
-60.090000, 9.610000, 23894.000000, -10384.000000
-60.540001, 9.280000, 24034.000000, -10425.000000
-60.970001, 8.950000, 24173.000000, -10466.000000
-61.419998, 8.590000, 24317.000000, -10508.000000
-61.860001, 8.240000, 24461.000000, -10548.000000
-62.299999, 7.880000, 24610.000000, -10592.000000
-62.740002, 7.500000, 24759.000000, -10636.000000
-63.180000, 7.120000, 24910.000000, -10679.000000
-63.619999, 6.720000, 25063.000000, -10722.000000
-64.050003, 6.310000, 25217.000000, -10765.000000
-64.480003, 5.890000, 25371.000000, -10807.000000
-64.919998, 5.460000, 25529.000000, -10849.000000
-65.349998, 5.020000, 25687.000000, -10891.000000
-65.790001, 4.550000, 25850.000000, -10933.000000
-66.220001, 4.090000, 26013.000000, -10975.000000
-66.650002, 3.590000, 26178.000000, -11020.000000
-67.080002, 3.090000, 26346.000000, -11063.000000
-67.500000, 2.570000, 26511.000000, -11106.000000
-67.930000, 2.030000, 26682.000000, -11149.000000
-68.349998, 1.480000, 26852.000000, -11192.000000
-68.769997, 0.900000, 27023.000000, -11234.000000
-69.190002, 0.300000, 27193.000000, -11277.000000
-69.610001, 359.679993, 27368.000000, -11319.000000
-70.019997, 359.029999, 27542.000000, -11362.000000
-70.440002, 358.369995, 27720.000000, -11406.000000
-70.849998, 357.670013, 27900.000000, -11449.000000
-71.260002, 356.950012, 28078.000000, -11493.000000
-71.660004, 356.200012, 28258.000000, -11536.000000
-72.059998, 355.410004, 28436.000000, -11579.000000
-72.470001, 354.589996, 28619.000000, -11622.000000
-72.860001, 353.739990, 28797.000000, -11665.000000
-73.260002, 352.850006, 28982.000000, -11707.000000
-73.650002, 351.920013, 29164.000000, -11749.000000
-74.029999, 350.950012, 29346.000000, -11791.000000
-74.410004, 349.940002, 29533.000000, -11834.000000
-74.790001, 348.880005, 29718.000000, -11876.000000
-75.160004, 347.760010, 29905.000000, -11917.000000
-75.529999, 346.589996, 30091.000000, -11957.000000
-75.889999, 345.369995, 30275.000000, -11996.000000
-76.239998, 344.079987, 30458.000000, -12034.000000
-76.589996, 342.730011, 30645.000000, -12069.000000
-76.930000, 341.309998, 30827.000000, -12102.000000
-77.260002, 339.820007, 31012.000000, -12131.000000
-77.589996, 338.250000, 31198.000000, -12157.000000
-77.900002, 336.600006, 31379.000000, -12180.000000
-78.209999, 334.880005, 31564.000000, -12198.000000
-78.510002, 333.049988, 31750.000000, -12210.000000
-78.790001, 331.149994, 31932.000000, -12214.000000
-79.059998, 329.149994, 32116.000000, -12210.000000
-79.320000, 327.049988, 32298.000000, -12197.000000
-79.559998, 324.850006, 32477.000000, -12172.000000
-79.790001, 322.549988, 32655.000000, -12135.000000
-80.010002, 320.160004, 32836.000000, -12081.000000
-80.199997, 317.660004, 33013.000000, -12013.000000
-80.370003, 315.079987, 33186.000000, -11929.000000
-80.529999, 312.399994, 33359.000000, -11825.000000
-80.669998, 309.640015, 33534.000000, -11701.000000
-80.790001, 306.809998, 33705.000000, -11555.000000
-80.879997, 303.910004, 33875.000000, -11390.000000
-80.949997, 300.959991, 34042.000000, -11204.000000
-81.000000, 297.980011, 34207.000000, -10997.000000
-81.019997, 294.970001, 34371.000000, -10772.000000
-81.019997, 291.950012, 34534.000000, -10530.000000
-81.000000, 288.950012, 34693.000000, -10274.000000
-80.949997, 285.950012, 34850.000000, -10004.000000
-80.879997, 283.010010, 35006.000000, -9727.000000
-80.779999, 280.109985, 35155.000000, -9446.000000
-80.669998, 277.279999, 35307.000000, -9159.000000
-80.529999, 274.519989, 35452.000000, -8877.000000
-80.370003, 271.850006, 35597.000000, -8598.000000
-80.190002, 269.269989, 35737.000000, -8326.000000
-80.000000, 266.769989, 35875.000000, -8062.000000
-79.790001, 264.380005, 36011.000000, -7811.000000
-79.559998, 262.089996, 36143.000000, -7571.000000
-79.309998, 259.890015, 36270.000000, -7349.000000
-79.050003, 257.790009, 36395.000000, -7140.000000
-78.779999, 255.789993, 36517.000000, -6947.000000
-78.500000, 253.880005, 36635.000000, -6771.000000
-78.199997, 252.070007, 36748.000000, -6612.000000
-77.900002, 250.339996, 36859.000000, -6468.000000
-77.580002, 248.699997, 36967.000000, -6339.000000
-77.260002, 247.130005, 37069.000000, -6228.000000
-76.930000, 245.639999, 37168.000000, -6130.000000
-76.580002, 244.229996, 37262.000000, -6050.000000
-76.230003, 242.880005, 37352.000000, -5984.000000
